,index,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
338,largest,comparee,screen size,which,model,screen size,model,most,which model has the largest screen size ?
339,least,comparee,kpixels,which,model,kpixels,model,least,which model released in august 1012 had the least kpixels ?
340,most,comparee,#,which,model,#,model,nan,which model weighs the most ?
341,more,comparee,#,who,name,#,grant,nan,"who scored more, grant or benyon ?"
342,top,comparee,#,who,scorer,#,#,least,who was the top scorer from ireland ?
343,top,difference,scorers,how many,#,scorers,#,least,how many players that are represented in the top scorers chart are from england ?
344,larger,comparee,#,which,diocese,#,ondjiva,nan,"which diocese has a larger area, ondjiva or dundo ?"
345,#,difference,#,what,area,#,lubango,nan,what is the difference area for lubango and luanda
346,first,comparee,position,which,latin name,position,#,least,which is the first latin name on the chart
347,most,comparee,#,who,team,#,#,nan,who has won the league the most ?
348,most,comparee,championship wins,which,team,championship wins,team,most,which team has the most championship wins ?
349,first,comparee,#,who,team,#,#,least,who was the winner in the first year of 1992 ?
350,most,comparee,wins,which,team,wins,team,most,which team has the most wins ?
351,last,comparee,spouse,what,school,spouse,school,most,what school did the last spouse attend ?
352,first,comparee,#,who,#,#,guangmei,nan,"who was born first, guangmei or yongqing ?"
353,shortest,comparee,#,who,name,#,#,least,who had the shortest tenures as president ?
354,#,difference,#,what,nan,#,53 king street,nan,"what is the difference, in years, between the completion dates of 53 king street and castlefield congregational chapel ?"
355,most,comparee,buildings,which,year,buildings,year,most,which year has the most buildings listed ?
356,last,comparee,year,what,year,year,#,most,what was the last year the tv show lynch aired ?
357,first,comparee,tv role,what,year,tv role,year,least,what year was natalia oriero's first tv role ?
358,first,comparee,award,what,#,award,#,least,what was the television show that gave natalia oriero her first award ?
359,oldest,comparee,#,which,name,#,kachorra,nan,"which is the oldest, kachorra or sos mi vida ?"
360,last,comparee,product,what,product,product,#,most,what is the last product represented in the chart ?
361,more,comparee,courthouses,what,city,courthouses,aberdeen,more,"what city has more courthouses, aberdeen or greenville ?"
362,most,comparee,#,which,jurisdiction,#,jurisdiction,nan,which jurisdiction is listed the most ?
363,most,comparee,courthouses,which,jurisdiction,courthouses,jurisdiction,most,which jurisdiction has the most courthouses ?
364,more,difference,bubas bison,how many,number,bubas bison,#,more,how many more bubas bison were released than copris hispanus linnaeus ?
365,#,difference,number,what,number,number,,nan,what is the difference between the number of onthophagus obliquus species released and the number of sisyphus rubrus paschalidis released ?
366,more,index,#,were,#,#,bubas bison,more,were more bubas bison or copris hispanus linnaeus released ?
367,first,comparee,species,which,species,species,#,least,which species of beetle was first released after geotrupes spinger marsham ?
368,largest,comparee,amount,which,beetle,amount,beetle,most,which beetle had the largest amount released ?
369,last,comparee,#,where,match,#,#,most,where was the last match played ?
370,last,difference,years,how,date,years,#,most,how long from the first date listed to the last date listed ?
371,same,difference,#,how many,#,#,#,equal,on how many dates was the outcome the same as on 1 august 2011
372,largest,comparee,number,what,#,number,#,most,what is the largest number of women that have been consecutively executed by lethal injection ?
373,first,comparee,#,who,musician,#,#,least,who is the first pop musician on this list ?
374,first,comparee,#,what,name,#,#,least,what is the first name on the chart
375,last,comparee,#,what,name,#,#,most,what is the last name on the list ?
376,first,comparee,tournament,where,#,tournament,#,least,what was the first tournament this year where rafael gomez won ?
377,highest,comparee,purse reward,which,tournament,purse reward,#,most,which tournament this year had the highest purse reward offered ?
378,most,comparee,tournaments,which,month,tournaments,month,most,which month hosts the most tournaments ?
379,most,comparee,money,which,purse,money,#,most,which purse has the most money ?
380,most,comparee,teams,which,country,teams,country,most,which country has the most teams on the list ?
381,most,comparee,engine,what,type,engine,#,most,what type of engine did drivers use the most in this race ?
382,last,comparee,team,what,chassis,team,#,most,what chassis was on the last team on the chart's car ?
383,least,comparee,number of people,which,city,number of people,black jack,least,"which has the least number of people served, black jack or jefferson city ?"
384,top,comparee,population,what,#,population,#,least,what is the top population served on the chart
385,last,comparee,city-county,what,city/county,city-county,#,most,what is the last city/county and population served and web site
386,first,comparee,#,what,#,#,the first place competitor,least,"what was the difference, in time, between the first place competitor and the third place competitor ?"
387,top,comparee,#,who,name,#,#,least,who finished at the top with a gold medal ?
388,first,difference,seconds,how many,#,seconds,#,least,andi langenhan and johannes ludwig came in a total of how many seconds behind first place ?
389,first,difference,place,how,#,place,daniel pfister,least,how long was daniel pfister behind first place/
390,better,comparee,score,who,#,score,manchester united,more,"who had a better score, manchester united or wolverhampton wanderers ?"
391,#,difference,score,what,scores,score,southampton,nan,what is the difference between southampton's score and sunderland's score ?
392,#,comparee,goal,what,goals,goal,#,nan,what was the goal difference in the game on february 18th ?
393,top,comparee,#,who,#,#,#,least,who was the home team in the game on the top of the table ?
394,more,index,#,did,#,#,lionel roberts park,nan,did they play at lionel roberts park or andre kamperveen stadion more ?
395,top,comparee,score,what,#,score,#,least,what the the top score result ?
396,last,comparee,game,which,team,game,#,most,which team did this person face in their last game in the 2012 caribbean cup ?
397,first,comparee,venue,what,venue,venue,#,least,what is the first venue in calender year 2012 ?
398,first,comparee,winner,who,#,winner,#,least,who is the first under 18 bruce wilkinson medal winner ?
399,first,comparee,attendance,what,attendance,attendance,#,least,what was the total attendance for the tigers' first three games of 2008 ?
