,index,table_title,table_context,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
199,last,Australia women's national association football team,Competition Stage Opponent Result Scorers,comparee,position,who,oppenent,position,#,most,who was the last opponent this team faced in the 2010 afc asian cup ?
200,more,1959 NBA draft,Round Pick Player Position Nationality Team College,index,#,are,#,#,guards,more,are there more g's or c's? (guards or centers)
201,most,List of windmills in Hertfordshire,Location Maps,comparee,maps,what,location,maps,location,most,what location has the most maps ?
202,most,List of windmills in Hertfordshire,Location Name of mill and\ngrid reference Type Maps First mention\nor built Last mention\nor demise,index,windmills,did,#,windmills,"cromer, chipperfield or cheshunt",most,"did cromer, chipperfield or cheshunt have the most windmills ?"
203,first,List of windmills in Hertfordshire,Location Name of mill and\ngrid reference Type Maps First mention\nor built Last mention\nor demise,comparee,#,what,number,#,#,least,what is the number of mills first mentioned or built in the 1800s ?
204,highest,Goodbye Mr. Mackenzie,Album,comparee,spot,which,album,spot,album,most,which album hit the highest spot on the uk albums chart ?
205,first,Eightysix (Andras Vleminckx),Title Year Artist(s) Album Writer(s) Producer(s),comparee,time,what,song,time,song,least,what was the first song that this producer helped write ?
206,latest,Eightysix (Andras Vleminckx),Title Year Artist(s) Album Writer(s) Producer(s),comparee,#,what,song,#,#,most,what is eightysix's latest song ?
207,most,Eightysix (Andras Vleminckx),Producer(s),comparee,titles,which,producer(s),titles,producer,most,which producer had the most titles ?
208,largest,1992–93 FC Bayern Munich season,Match Date Ground Opponent Score1 Pos. Pts. GD,comparee,margain,who,name,margain,#,most,who had the largest margin of winning ?
209,last,1992–93 FC Bayern Munich season,Match Date Ground Opponent Score1 Pos. Pts. GD,comparee,#,what,name,#,#,most,what was the last opponent the club played in august ?
210,first,1992–93 FC Bayern Munich season,Match Date Ground Opponent Score1 Pos. Pts. GD,comparee,#,who,club,#,#,least,who did the club play its first match against ?
211,least,Administration (British football),Club Entered\nadministration Exited\nadministration League(s) Deduction(s),comparee,amount of time,what,team,amount of time,team,least,what team spent the least amount of time in the administration ?
212,last,Administration (British football),Club Entered\nadministration Exited\nadministration League(s) Deduction(s),comparee,#,what,#,#,#,most,what is the last club listed ?
213,more,Taekwondo at the 2013 Bolivarian Games,LOCATION Nation,index,gold medals,did,nan,gold medals,panama,more,did panama receive more gold medals than peru in taekwondo at the 2013 bolivarian games ?
214,most,Taekwondo at the 2013 Bolivarian Games,Nation,comparee,#,what,nation,#,nation,most,what nation had the most silver medals ?
215,top,Taekwondo at the 2013 Bolivarian Games,Rank Nation Gold Silver Bronze Total,comparee,bronze medals,what,country,bronze medals,country,least,what country scored the top number of bronze medals in taekwondo at the 2013 bolivarian games ?
216,most,Taekwondo at the 2013 Bolivarian Games,Rank Nation Gold Silver Bronze Total,comparee,gold medals,which,country,gold medals,country,most,which country scored the most gold medals at this event ?
217,first,Lori Chalupny,Goal,comparee,goal,what,minute,goal,minute,least,how long or what minute in the game was the first goal scored ?
218,first,Lori Chalupny,Goal Date Location Opponent Lineup Min Assist/pass Score Result Competition,comparee,#,who,country,#,#,least,who was the opponent faced when the first goal was scored in 2004 ?
219,last,Lori Chalupny,Location,comparee,position,what,location,position,#,most,what is the last location on the chart
220,better,2005 Baltimore Ravens season,Week Date Opponent Result Record Attendance,index,score,did,nan,score,#,more,did they have a better score against the tennessee titans or the green bay packers ?
221,last,2005 Baltimore Ravens season,Attendance,comparee,attendance,what,attendance,attendance,the first game,most,what is the difference in attendance between the first game in september and the last game in january ?
222,largest,2005 Baltimore Ravens season,Week Date Opponent Result Record Attendance,comparee,differences,which,time,differences,game,most,which game had the largest difference in score ?
223,first,2005 Baltimore Ravens season,Week Date Opponent Result Record Attendance,comparee,time,what,time,time,#,least,what was the first time in the season the ravens were held to under ten points ?
224,least,2005 Baltimore Ravens season,Week Date Opponent Result Record Attendance,comparee,points,what,points,points,#,least,what is the least amount of points that the ravens scored but still won by in 2005 ?
225,#,1977 Ohio State Buckeyes football team,Date Opponent# Rank# Site Result Attendance,difference,#,what,nan,#,wins,nan,what is the difference between the number of wins and the number of losses ?
226,most,1977 Ohio State Buckeyes football team,Date,comparee,people,which,date,people,date,most,which date was attended by the most people ?
227,last,1977 Ohio State Buckeyes football team,Date,comparee,time,what,date,time,#,most,"what was the last game to be attended by fewer than 30,000 people ?"
228,last,Federated Computing Research Conference,CCC IEEE Conference on Computational Complexity 1993 1996 1999 - 2007 2011 2015,comparee,#,what,year,#,#,most,what was the last year for ppopp ?
229,longer,Federated Computing Research Conference,CCC,comparee,#,which,#,#,stoc,more,which has lasted longer stoc or lctes ?
230,last,Federated Computing Research Conference,CCC IEEE Conference on Computational Complexity 1993 1996 1999 - 2007 2011 2015,comparee,year,what,year,year,#,most,"what was the last year that the ""symposium on principles and practice of parallel programming"" held ?"
231,least,Netherlands in the Eurovision Song Contest 1983,Artist,comparee,number of points,which,artist,number of points,artist,least,which artist earned the least number of points ?
232,least,Netherlands in the Eurovision Song Contest 1983,Points,comparee,points,who,#,points,had,least,"next to mystique's ""op zo'n dag"", who had the least amount of points ?"
233,more,Eric Dickerson,Team Team Team Team Team,index,#,did,#,#,los angeles rams,more,did he score more tds with the los angeles rams or with indianapolis colts ?
234,most,Eric Dickerson,DURATION Year,comparee,rushing yards,which,year,rushing yards,year,most,which year did dickerson earn the most rushing yards ?
235,least,Eric Dickerson,DURATION Year,comparee,rushing yards,which,year,rushing yards,year,least,which year did dickerson earn the least rushing yards ?
236,more,Kasun Jayasuriya,#,index,competitions,were,#,competitions,april,more,were more competitions played in april or december ?
237,largest,Kasun Jayasuriya,Venue Result,comparee,result,which,venue,result,venue,most,which venue has the largest result
238,top,Kasun Jayasuriya,# Venue,comparee,position,what,venue,position,#,least,what is the top listed venue in the table ?
239,faster,Speed skating at the 1976 Winter Olympics – Men's 500 metres,PERSON|PERSON Athlete,comparee,speed,who,#,speed,mikio oyama,nan,"who was faster, mikio oyama or arnulf sunde ?"
240,same,Speed skating at the 1976 Winter Olympics – Men's 500 metres,Rank Athlete Country Time Notes,comparee,#,what,racer,#,racer,equal,what racer finished with the same time as the fastest norwegian skater ?
241,last,Steven Lee (music producer),Date,comparee,single,what,date,single,#,most,what was the last single released ?
242,top,Steven Lee (music producer),Album / Name Artist(s) Label Role/Credit Date Chart#,comparee,position,what,album,position,#,least,what is the top album name ?
243,last,Steven Lee (music producer),Album / Name Artist(s) Label Role/Credit Date Chart#,comparee,position,which,song,position,#,most,which song is last on the list ?
244,#,2003 Asian Athletics Championships – Women's triple jump,PERSON|PERSON Result Name,comparee,result,what,#,result,huang qiuyan,nan,what is the difference between huang qiuyan's result and fumiyo yoshida's result ?
245,first,2003 Asian Athletics Championships – Women's triple jump,Nationality,comparee,place,what,nationality,place,nationality,least,what nationality was the woman who won first place ?
246,first,2003 Asian Athletics Championships – Women's triple jump,Rank Name Nationality Result Notes,comparee,#,which,country,#,country,nan,which country came in first ?
247,most,2003 Asian Athletics Championships – Women's triple jump,Rank Name Nationality Result Notes,comparee,competitors,which,country,competitors,country,least,which country had the most competitors ranked in the top three in the event ?
248,first,Henrik Malberg,Year Original title English title Role Notes,comparee,films,what,film,films,#,least,what was henrick malberg's first film ?
249,first,Henrik Malberg,Year Original title English title Role Notes,difference,films,how many,years,films,#,least,how many years had passed from malberg's first film to the first danish film with sound ?
250,most,Henrik Malberg,Year Original title English title Role Notes,comparee,films,#,films,films,#,most,the most films henrick malberg appeared in in one year.
251,first,Henrik Malberg,Year Original title English title Role Notes,comparee,#,what,title,#,#,least,what is the first original title listed on this chart ?
252,last,Henrik Malberg,Year Original title English title Role Notes,comparee,#,what,film,#,#,most,what was henrick malberg's last film ?
253,last,Henrik Malberg,DURATION Year,comparee,#,what,year,#,year,most,in what year was henrik malberg's last film released ?
